cycle_id,timestamp,would_fire_legacy,would_fire_optA,would_fire_optA_preview,would_fire_spread_0.4,would_fire_spread_0.5,would_fire_spread_0.6,would_fire_spread_0.7
cyc_1779198478,2026-05-19T13:47:58.489612,0,1,0,1,1,1,1
cyc_1779206415,2026-05-19T16:00:15.480082,0,1,1,1,1,1,1
cyc_1779212353,2026-05-19T17:39:14.139071,0,1,0,1,1,1,1
cyc_1779220846,2026-05-19T20:00:46.737324,0,1,0,1,1,1,1
cyc_1779235258,2026-05-20T00:00:59.105026,0,1,0,1,1,1,1
cyc_1779249637,2026-05-20T04:00:37.242239,0,1,0,1,1,1,1
cyc_1779264006,2026-05-20T08:00:06.538875,0,1,0,1,1,1,1
cyc_1779278423,2026-05-20T12:00:23.454669,0,1,0,1,1,1,1
cyc_1779279481,2026-05-20T12:18:01.498394,0,1,0,1,1,1,1
cyc_1779292759,2026-05-20T15:59:19.815179,0,1,0,1,1,1,1
cyc_1779292856,2026-05-20T16:00:56.990267,0,1,1,1,1,1,1
cyc_1779294913,2026-05-20T16:35:14.195417,0,1,1,1,1,1,0
cyc_1779299813,2026-05-20T17:56:53.577026,0,1,1,1,1,1,1
cyc_1779307229,2026-05-20T20:00:29.655980,0,1,1,1,1,1,1
cyc_1779307771,2026-05-20T20:09:32.105827,0,1,1,1,1,1,1
cyc_1779307852,2026-05-20T20:10:53.106775,0,1,1,1,1,1,1
cyc_1779308314,2026-05-20T20:18:34.911336,0,1,1,1,1,1,1
cyc_1779315881,2026-05-20T22:24:41.267375,0,1,1,1,1,1,1
cyc_1779321628,2026-05-21T00:00:29.130225,0,1,1,1,1,1,1
cyc_1779336003,2026-05-21T04:00:04.210321,0,1,1,1,1,1,1
cyc_1779350410,2026-05-21T08:00:11.104498,0,1,1,1,1,1,1
cyc_1779350640,2026-05-21T08:04:01.152494,0,1,1,1,1,1,1
cyc_1779364800,2026-05-21T12:00:00.997674,0,1,0,1,1,1,0
cyc_1779365884,2026-05-21T12:18:04.994634,0,1,0,1,1,1,0
