cycle_id,timestamp,actual_grid_action,weighted_grid_action,actual_risk_action,weighted_risk_action,action_differed,actual_6h_pnl,hypothetical_outcome_known
cyc_1779198478,2026-05-19T13:47:58.489612,MAINTAIN,RECENTRE,CLEAR,CLEAR,1,0.0,0
cyc_1779206415,2026-05-19T16:00:15.480082,RECENTRE,RECENTRE,CLEAR,CLEAR,0,0.0,1
cyc_1779212353,2026-05-19T17:39:14.139071,MAINTAIN,RECENTRE,CLEAR,CLEAR,1,0.0,0
cyc_1779220846,2026-05-19T20:00:46.737324,MAINTAIN,RECENTRE,CLEAR,CLEAR,1,0.0,0
cyc_1779235258,2026-05-20T00:00:59.105026,MAINTAIN,RECENTRE,CLEAR,CLEAR,1,0.0,0
cyc_1779249637,2026-05-20T04:00:37.242239,MAINTAIN,RECENTRE,CLEAR,CLEAR,1,0.0,0
cyc_1779264006,2026-05-20T08:00:06.538875,MAINTAIN,RECENTRE,CLEAR,CLEAR,1,0.0,0
cyc_1779278423,2026-05-20T12:00:23.454669,MAINTAIN,RECENTRE,CLEAR,CLEAR,1,0.0,0
cyc_1779279481,2026-05-20T12:18:01.498394,MAINTAIN,RECENTRE,CLEAR,CLEAR,1,0.0,0
cyc_1779292759,2026-05-20T15:59:19.815179,MAINTAIN,RECENTRE,CLEAR,CLEAR,1,0.0,0
cyc_1779292856,2026-05-20T16:00:56.990267,MAINTAIN,RECENTRE,CLEAR,CLEAR,1,0.0,0
cyc_1779294913,2026-05-20T16:35:14.195417,MAINTAIN,RECENTRE,CLEAR,CLEAR,1,0.0,0
cyc_1779299813,2026-05-20T17:56:53.577026,MAINTAIN,RECENTRE,CLEAR,CLEAR,1,0.0,0
cyc_1779307229,2026-05-20T20:00:29.655980,MAINTAIN,RECENTRE,CLEAR,CLEAR,1,0.0,0
cyc_1779307771,2026-05-20T20:09:32.105827,MAINTAIN,RECENTRE,CLEAR,CLEAR,1,0.0,0
cyc_1779307852,2026-05-20T20:10:53.106775,MAINTAIN,RECENTRE,CLEAR,CLEAR,1,0.0,0
cyc_1779308314,2026-05-20T20:18:34.911336,MAINTAIN,RECENTRE,CLEAR,CLEAR,1,0.0,0
cyc_1779315881,2026-05-20T22:24:41.267375,MAINTAIN,RECENTRE,CLEAR,CLEAR,1,0.0,0
cyc_1779321628,2026-05-21T00:00:29.130225,MAINTAIN,RECENTRE,CLEAR,CLEAR,1,0.0,0
cyc_1779336003,2026-05-21T04:00:04.210321,MAINTAIN,RECENTRE,CLEAR,CLEAR,1,0.0,0
cyc_1779350410,2026-05-21T08:00:11.104498,MAINTAIN,MAINTAIN,CLEAR,CLEAR,0,,0
cyc_1779350640,2026-05-21T08:04:01.152494,MAINTAIN,MAINTAIN,CLEAR,CLEAR,0,,0
cyc_1779364800,2026-05-21T12:00:00.997674,MAINTAIN,MAINTAIN,CLEAR,CLEAR,0,,0
cyc_1779365884,2026-05-21T12:18:04.994634,MAINTAIN,MAINTAIN,CLEAR,CLEAR,0,,0
